Instance_number,topic,topicKnowledge,overAllTopicKnowledge,quizWiseTopicKnowledge,advanceTopicKnowledge,overAllAdvanceTopicKnowledge,quizWiseAdvanceTopicKnowledge,easyTopicKnowledge,overAllEasyTopicKnowledge,quizWiseEasyTopicKnowledge,knowledge,overAllKnowledge,quizWiseKnowledge,advancedKnowledge,overAllAdvancedKnowledge,quizWiseAdvancedKnowledge,easyKnowledge,overAllEasyKnowledge,quizWiseEasyKnowledge,timeSpentViewingMaterial,overAllAttemptAverage,quizWiseAttemptAverage,activeOrReflective,sensoryOrIntuitive,visualOrVerbal,sequentialOrGlobal,recommendation,Cluster
0,'flow control',0.015625,0.03125,0,0,0,0,0.03125,0.0625,0,0.419416,0.838831,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,0,2.5,1,5,1,11,7,https://javatutorial.net/java-control-flow-statements,cluster1
1,exceptions,0.139063,0.278125,0,0.278125,0.55625,0,0,0,0,0.448409,0.896817,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,0,2.5,1,5,1,11,7,http://beginnersbook.com/2013/04/java-exception-handling/,cluster7
2,threads,0.014063,0.028125,0,0,0,0,0.028125,0.05625,0,0.444705,0.88941,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,0,2.5,1,5,1,11,7,http://beginnersbook.com/2013/03/multithreading-in-java/,cluster1
3,core,0,0,0,0,0,0,0,0,0,0.443142,0.886285,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,0,2.5,1,5,1,11,7,http://www.tutorialspoint.com/java/java_inheritance.htm,cluster3
4,'declarations and access control',0.140625,0.03125,0.25,0.28125,0.0625,0.5,0,0,0,0.538825,0.924479,0.153171,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,0,2.5,1,5,1,11,7,http://beginnersbook.com/2013/05/java-access-modifiers/,cluster5
5,'operators and assignments',0.125,0,0.25,0.25,0,0.5,0,0,0,0.568339,0.983507,0.153171,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,0,2.5,1,5,1,11,7,http://www.wideskills.com/java-tutorial/java-operators-tutorial,cluster0
6,'inner classes',0.140625,0.03125,0.25,0.25,0,0.5,0.03125,0.0625,0,0.604797,1.056424,0.153171,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,0,2.5,1,5,1,11,7,http://www.javaworld.com/article/2979739/learn-java/java-101-classes-and-objects-in-java.html,cluster2
7,assertions,0.125,0,0.25,0.25,0,0.5,0,0,0,0.606533,1.059896,0.153171,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,0,2.5,1,5,1,11,7,http://www.javatpoint.com/assertion-in-java,cluster0
8,classes,0.140625,0.03125,0.25,0.25,0,0.5,0.03125,0.0625,0,0.642992,1.132813,0.153171,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,0,2.5,1,5,1,11,7,http://www.javaworld.com/article/2979739/learn-java/java-101-classes-and-objects-in-java.html,cluster2
9,'garbage collection',0.15625,0.0625,0.25,0.3125,0.125,0.5,0,0,0,0.67945,1.205729,0.153171,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,0,2.5,1,5,1,11,7,http://javarevisited.blogspot.com/2011/04/garbage-collection-in-java.html,cluster4
10,'objects and collections',0.125,0.25,0,0,0,0,0.25,0.5,0,0.736163,1.346933,0.125393,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,0,2.5,1,5,1,11,7,http://beginnersbook.com/java-collections-tutorials/,cluster6
